#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Oct 11 19:55:25 2025

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       EasyH3V3SWDUG4A3_map.ncd
#OUTPUT FILE:      EasyH3V3SWDUG4A3_pad.csv
#PART TYPE:        xc6slx16
#SPEED GRADE:      -2
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,DioPort<26>,IOB,IO_L2N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A3,DioPort<25>,IOB,IO_L4N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A4,DioPort<27>,IOB,IO_L5N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A5,DioPort<100>,IOB,IO_L6N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A6,DioPort<67>,IOB,IO_L8N_VREF_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A7,DioPort<88>,IOB,IO_L10N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A8,DioPort<85>,IOB,IO_L33N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A9,DioPort<92>,IOB,IO_L35N_GCLK16_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A10,DioPort<89>,IOB,IO_L37N_GCLK12_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A11,DioPort<96>,IOB,IO_L39N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A12,DioPort<93>,IOB,IO_L41N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A13,DioPort<95>,IOB,IO_L50N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A14,DioPort<126>,IOB,IO_L62N_VREF_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A15,DioPort<152>,IOB,IO_L64N_SCP4_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A16,DioPort<98>,IOB,IO_L66N_SCP0_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,VCCAUX,,,,,,,,2.5,,,,
B2,DioPort<28>,IOB,IO_L2P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B3,DioPort<50>,IOB,IO_L4P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B4,DioPort<52>,IOB,IO_L5P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B5,,,VCCO_0,,,0,,,,,3.30,,,,
B6,DioPort<65>,IOB,IO_L8P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B7,,,GND,,,,,,,,,,,,
B8,DioPort<87>,IOB,IO_L33P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B9,DioPort<90>,IOB,IO_L35P_GCLK17_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B10,,,VCCO_0,,,0,,,,,3.30,,,,
B11,DioPort<91>,IOB,IO_L39P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B12,DioPort<94>,IOB,IO_L41P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B13,,,GND,,,,,,,,,,,,
B14,DioPort<128>,IOB,IO_L62P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B15,,,VCCO_0,,,0,,,,,3.30,,,,
B16,DioPort<150>,IOB,IO_L66P_SCP1_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
B17,,,VCCAUX,,,,,,,,2.5,,,,
B18,,,TMS,,,,,,,,,,,,
C1,DioPort<23>,IOB,IO_L83N_VREF_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C2,DioPort<21>,IOB,IO_L83P_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C3,,,GND,,,,,,,,,,,,
C4,DioPort<47>,IOB,IO_L1N_VREF_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C5,DioPort<66>,IOB,IO_L6P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C6,DioPort<68>,IOB,IO_L3N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C7,DioPort<83>,IOB,IO_L10P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C8,DioPort<86>,IOB,IO_L11N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
